6.0,2.5,6.3,3.3,virginica
4.5,1.7,4.9,2.5,virginica
4.5,1.6,6.0,3.4,versicolor
5.6,2.4,6.3,3.4,virginica
5.1,2.4,5.8,2.8,virginica
1.4,0.2,5.1,3.5,setosa
1.6,0.2,5.1,3.8,setosa
1.4,0.2,5.2,3.4,setosa
1.5,0.2,5.0,3.4,setosa
1.5,0.2,4.9,3.1,setosa
5.6,1.4,6.1,2.6,virginica
4.0,1.0,6.0,2.2,versicolor
1.6,0.6,5.0,3.5,setosa
6.7,2.2,7.7,3.8,virginica
6.3,1.8,7.3,2.9,virginica
1.5,0.2,4.6,3.1,setosa
5.6,2.4,6.7,3.1,virginica
3.5,1.0,5.7,2.6,versicolor
5.7,2.3,6.9,3.2,virginica
4.5,1.5,6.2,2.2,versicolor
5.1,2.3,6.9,3.1,virginica
6.1,2.5,7.2,3.6,virginica
4.9,2.0,5.6,2.8,virginica
1.1,0.1,4.3,3.0,setosa
5.1,1.8,5.9,3.0,virginica
1.5,0.4,5.4,3.4,setosa
4.9,1.5,6.9,3.1,versicolor
3.3,1.0,4.9,2.4,versicolor
4.4,1.2,5.5,2.6,versicolor
1.5,0.1,4.9,3.1,setosa
1.0,0.2,4.6,3.6,setosa
5.0,1.5,6.0,2.2,virginica
3.5,1.0,5.0,2.0,versicolor
4.8,1.4,6.8,2.8,versicolor
5.1,1.5,6.3,2.8,virginica
4.5,1.5,5.4,3.0,versicolor
4.1,1.3,5.6,3.0,versicolor
