5.1,1.9,5.8,2.7,virginica
6.7,2.0,7.7,2.8,virginica
1.5,0.4,5.1,3.7,setosa
3.3,1.0,5.0,2.3,versicolor
1.7,0.2,5.4,3.4,setosa
4.2,1.2,5.7,3.0,versicolor
5.1,2.0,6.5,3.2,virginica
5.7,2.1,6.7,3.3,virginica
1.3,0.3,5.0,3.5,setosa
1.3,0.2,5.5,3.5,setosa
4.6,1.5,6.5,2.8,versicolor
1.4,0.1,4.8,3.0,setosa
4.5,1.5,6.4,3.2,versicolor
5.6,2.1,6.4,2.8,virginica
4.1,1.0,5.8,2.7,versicolor
1.3,0.2,4.4,3.0,setosa
4.5,1.5,5.6,3.0,versicolor
6.6,2.1,7.6,3.0,virginica
1.4,0.3,5.1,3.5,setosa
5.4,2.3,6.2,3.4,virginica
3.0,1.1,5.1,2.5,versicolor
3.7,1.0,5.5,2.4,versicolor
1.5,0.3,5.1,3.8,setosa
4.7,1.4,7.0,3.2,versicolor
4.7,1.5,6.7,3.1,versicolor
6.1,2.3,7.7,3.0,virginica
4.4,1.4,6.6,3.0,versicolor
1.4,0.2,4.6,3.2,setosa
4.4,1.3,6.3,2.3,versicolor
5.0,1.7,6.7,3.0,versicolor
4.6,1.3,6.6,2.9,versicolor
5.8,1.6,7.2,3.0,virginica
4.8,1.8,5.9,3.2,versicolor
4.0,1.3,5.5,2.3,versicolor
5.2,2.3,6.7,3.0,virginica
1.9,0.4,5.1,3.8,setosa
1.5,0.2,5.1,3.4,setosa
6.9,2.3,7.7,2.6,virginica
